"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_1008_2520Metric";1;"40n";;;
2;"C5,C2";"C_1206_3216Metric";2;"0.01u";;;
3;"R2";"R_1206_3216Metric";1;"5.1R";;;
4;"L3";"L_1210_3225Metric";1;"4.3n";;;
5;"R3,R4";"R_1206_3216Metric";2;"4.7K";;;
6;"IC2,IC1";"SWITCH-HSWA4-63DR+";2;"SWITCH-HSWA4-63DR+";;;
7;"C10,C11";"C_1206_3216Metric";2;"6.8p";;;
8;"L4";"CHOKE-LQH44PN4R7MP0L";1;"CHOKE-LQH44PN4R7MP0L";;;
9;"L5";"L_1008_2520Metric";1;"47n";;;
10;"A1";"RPI-4";1;"RPI-ZERO-ADA3708";;;
11;"C16,C15,C9";"C_1206_3216Metric";3;"100p";;;
12;"U1";"PAMP-HMC453ST89ETR";1;"HMC452ST89ETR";;;
13;"C18,C17";"C_1206_3216Metric";2;"1u";;;
14;"C14";"C_1206_3216Metric";1;"0.1u";;;
15;"C19,C20";"C_1206_3216Metric";2;"0.47u";;;
16;"U4";"RTC-DS3231M-TRL";1;"DS3231M";;;
17;"C4";"C_1206_3216Metric";1;"330p";;;
18;"C1";"C_1206_3216Metric";1;"12p";;;
19;"C6,C13";"C_1206_3216Metric";2;"10u";;;
20;"C8";"C_1206_3216Metric";1;"2.2u";;;
21;"J1";"SMA-LPRS-CONNECTOR";1;"SMA-LPRS-CONNECTOR";;;
22;"R1";"R_1206_3216Metric";1;"150R";;;
23;"D1";"LED_D3.0mm";1;"LED";;;
24;"U3";"TRX-RFM98W-433";1;"RFM96W-433S2";;;
25;"L6";"L_1210_3225Metric";1;"5.1n";;;
26;"C12";"C_1206_3216Metric";1;"39p";;;
27;"R5";"R_1206_3216Metric";1;"154R";;;
28;"BT1";"BATT-S8411-45R";1;"BATT-S8411-45R";;;
29;"L2";"L_1008_2520Metric";1;"620n";;;
30;"C3";"C_1206_3216Metric";1;"15p";;;
31;"C7";"C_1206_3216Metric";1;"0.33u";;;
32;"U2";"LNA-PGA-103+";1;"PGA-103+";;;
