Designator,MidX,MidY,Layer,Rotation
BT1,157,-65,top,-90
C1,146.25,-121.75,top,0
C2,133,-140.25,top,180
C3,151.25,-126.5,top,-90
C4,142.75,-146.5,top,0
C5,123.25,-139.25,top,90
C6,115,-131.75,top,180
C7,115,-135.75,top,180
C8,167.25,-110.5,top,0
C9,167.25,-114.5,top,0
C10,169.25,-129.5,top,0
C11,169.25,-133.25,top,0
C12,167.75,-137.75,top,-90
C13,148,-110,top,90
C14,144,-110,top,90
C15,131.5,-118.5,top,0
C16,154,-149,top,90
C17,131.5,-115,top,0
C18,150,-149,top,90
C19,117.75,-62,top,0
C20,136.775,-66.5,top,-90
IC1,125,-119.905,top,0
IC2,160,-147.6,top,180
L1,144.75,-126.25,top,-90
L2,131.425,-145.5,top,-90
L3,152.75,-121.75,top,0
L4,118,-140.75,top,0
L5,165.75,-119,top,-90
L6,167.75,-124.75,top,-90
R1,136.75,-146.5,top,0
R2,173.25,-114.5,top,0
R3,140.525,-59.5,top,-90
R4,136.775,-59.5,top,-90
R5,175,-62.15625,top,90
U1,159.75,-120,top,0
U2,125,-146,top,180
U3,142.5,-97.5,top,-90
U4,128,-65,top,0
